Parent_SKU,Accessory_Group,Accessory_Title,Accessory_Handle
VC480,OPCIONALES,Ruedas Desmopan (Para Piso Flotante),acc-opcionales-ruedas-desmopan-para-piso-flotante
VC480,,Cabecero ,acc--cabecero
VC480,,Desplazador de Asiento,acc--desplazador-de-asiento
VC480,,Nordic,acc--nordic
VC481,,Brazo Fijo ,acc--brazo-fijo
VC481,Opcional,Ruedas Desmopán 50 mm (Para Piso Flotante),acc-opcional-ruedas-desmopán-50-mm-para-piso-flotante
VC481,,Nordic,acc--nordic
VC492,BASE,Base Cromada,acc-base-base-cromada
VC502,Opcionales,Cabecero y colgador,acc-opcionales-cabecero-y-colgador
VC503,,2 Cuerpo,acc--2-cuerpo
VC503,,3 Cuerpo,acc--3-cuerpo
VC503,Tapiz,Ecoclean Lavable Antimancha para 1 cuerpo,acc-tapiz-ecoclean-lavable-antimancha-para-1-cuerpo
VC503,,Ecoclean Lavable Antimancha para 2 cuerpos,acc--ecoclean-lavable-antimancha-para-2-cuerpos
VC503,,Ecoclean Lavable Antimancha para 3 cuerpos,acc--ecoclean-lavable-antimancha-para-3-cuerpos
VC505,Opcionales ,Cabecero Malla Fijo ,acc-opcionales-cabecero-malla-fijo
VC470,Opcionales,Cabecero,acc-opcionales-cabecero
VC470,,Base Cromada ,acc--base-cromada
VC470,,Base Aluminio,acc--base-aluminio
VC586,,Base Cromada,acc--base-cromada
VC586,,Cabecero,acc--cabecero
VC612,,Base Cromada,acc--base-cromada
VC612,,Base Aluminio Pulido,acc--base-aluminio-pulido
VC612,Brazos,Brazo Regulable PP 2D,acc-brazos-brazo-regulable-pp-2d
VC612,,Brazo Regulable 3D PU,acc--brazo-regulable-3d-pu
VC612,Extras,Cabecero,acc-extras-cabecero
VC637,opcional,Base Aluminio,acc-opcional-base-aluminio
VC637,,Cabecero,acc--cabecero
VC637,,Mecanismo 4 posiciones de bloqueo,acc--mecanismo-4-posiciones-de-bloqueo
VC637,,Ruedas desmopan,acc--ruedas-desmopan
VC641,,Brazos Fijos en PP,acc--brazos-fijos-en-pp
VC641,,Brazos Regulables pp,acc--brazos-regulables-pp
VC641,,Brazos Regulables 2D en TPU,acc--brazos-regulables-2d-en-tpu
