Handle,Title,Option1 Name,Option1 Value,Variant SKU,Variant Price,Image Src,Image Command
silla-iso-smart-completa-tap,Silla Iso Smart Tapizada Italiana ,Title,Default Title,VC239,60600.0,https://vicca.cl/media/catalog/product/s/i/silla_iso_smart_visita_asiento_y_respaldo_tapizado_1_vicca.jpg,MERGE
silla-isosceles,Silla Isosceles Italiana ,Title,Default Title,VC241,52700.0,https://vicca.cl/media/catalog/product/i/s/iso.jpg,MERGE
silla-kyos-asiento-tapizado,Silla Kyos Asiento Tapizado,Title,Default Title,VC242,95000.0,https://vicca.cl/media/catalog/product/k/y/ky3.jpg,MERGE
silla-kyos-tapizada,Silla Kyos Tapizada,Title,Default Title,VC243,101000.0,https://vicca.cl/media/catalog/product/s/i/silla_kyos_visita_respaldo_y_asiento_tapizado_1_vicca.jpg,MERGE
silla-pinko-respaldo-malla,Silla Pinko Respaldo Malla,Title,Default Title,VC246,122000.0,https://vicca.cl/media/catalog/product/t/4/t4_2.jpg,MERGE
silla-prisma,Silla Prisma,Title,Default Title,VC249,55000.0,https://vicca.cl/media/catalog/product/r/3/r3.jpg,MERGE
silla-strong,Silla Strong,Title,Default Title,VC255,52500.0,https://vicca.cl/media/catalog/product/s/s/ss4.jpg,MERGE
silla-urban-4-patas,Silla Urban 4 patas,Title,Default Title,VC259,133000.0,https://vicca.cl/media/catalog/product/p/a/pa4.jpg,MERGE
silla-urban-trineo,Silla Urban Trineo,Title,Default Title,VC260,133000.0,https://vicca.cl/media/catalog/product/u/r/ur4_1.jpg,MERGE
silla-atton-alto,Silla Atton Alto,Title,Default Title,VC263,180000.0,https://vicca.cl/media/catalog/product/s/i/silla_atton_alta_1_vicca.jpg,MERGE
silla-cp,Silla CP,Title,Default Title,VC268,854700.0,https://vicca.cl/media/catalog/product/c/p/cp3.jpg,MERGE
silla-ergohuman-cuero,Silla Ergohuman Elite Cuero,Title,Default Title,VC273,750000.0,https://vicca.cl/media/catalog/product/e/r/ergohuman_cuero_03.jpg,MERGE
silla-ergohuman-malla,Silla Ergohuman Elite Malla,Title,Default Title,VC274,620000.0,https://vicca.cl/media/catalog/product/m/i/mi4_2.jpg,MERGE
silla-ioo-black,Silla Ioo Black,Title,Default Title,VC276,469000.0,https://vicca.cl/media/catalog/product/l/o/lo1_2.jpg,MERGE
silla-master,Silla Master,Title,Default Title,VC281,255000.0,https://vicca.cl/media/catalog/product/m/a/master4.jpg,MERGE
silla-panal,Silla Panal,Title,Default Title,VC283,377000.0,https://vicca.cl/media/catalog/product/p/a/pana4.jpg,MERGE
silla-sabrina-standar,Silla Sabrina Standar,Title,Default Title,VC287,666600.0,https://vicca.cl/media/catalog/product/s/a/sabrina_negra_1.jpg,MERGE
silla-cozy-syncro,Silla Cozy Syncro,Title,Default Title,VC291,204000.0,https://vicca.cl/media/catalog/product/c/o/cozy.jpg,MERGE
silla-drop-syncro,Silla Drop Alta Syncro,Title,Default Title,VC292,174000.0,https://vicca.cl/media/catalog/product/i/m/img_5594.jpg,MERGE
silla-matrix-syncro,Silla Matrix Syncro,Title,Default Title,VC293,196600.0,https://vicca.cl/media/catalog/product/i/m/img_4105.jpg,MERGE
silla-selena-blanca,Silla Selena polipropileno,Title,Default Title,VC296,88000.0,https://vicca.cl/media/catalog/product/s/i/silla_selena_blanca_vicca.jpg,MERGE
silla-atton-medio,Silla Atton Medio,Title,Default Title,VC264,185000.0,https://vicca.cl/media/catalog/product/s/i/silla_atton_media_vicca.jpg,MERGE
silla-line-alta,Silla Line Alto,Title,Default Title,VC298,236000.0,https://vicca.cl/media/catalog/product/a/t/att4_2.jpg,MERGE
silla-bishop-baja-blanca,Silla Bishop Baja Blanca,Title,Default Title,VC299,144000.0,https://vicca.cl/media/catalog/product/s/i/silla_bishop_baja_blanca_5_dise_o_oficina_vicca.jpg,MERGE
silla-bishop-baja-negra,Silla Bishop Baja Negra,Title,Default Title,VC300,144000.0,https://vicca.cl/media/catalog/product/s/i/silla_bishop_baja_negra_5_dise_o_oficina_vicca.jpg,MERGE
silla-bishop-alta-blanca,Silla Bishop Alta Blanca,Title,Default Title,VC301,144000.0,https://vicca.cl/media/catalog/product/s/i/silla_bishop_alta_blanca_5_dise_o_oficina_vicca.jpg,MERGE
silla-bishop-alta-negra,Silla Bishop Alta Negra,Title,Default Title,VC302,144000.0,https://vicca.cl/media/catalog/product/s/i/silla_bishop_alta_negra_5_vicca.jpg,MERGE
silla-bishop-fija-trineo-blanca,Silla Bishop Fija Blanca,Title,Default Title,VC303,96600.0,https://vicca.cl/media/catalog/product/s/i/silla_bishop_fija_blanca_5_dise_o_oficina_vicca.jpg,MERGE
silla-bishop-fija-trineo-negra,Silla Bishop Fija Negra,Title,Default Title,VC304,96600.0,https://vicca.cl/media/catalog/product/s/i/silla_bishop_fija_negra_6_dise_o_oficina_vicca.jpg,MERGE
silla-carson-fija-trineo-negra,Silla Carson Fija Negra,Title,Default Title,VC306,105000.0,https://vicca.cl/media/catalog/product/s/i/silla_carson_fija_negra_trineo_1_vicca.jpg,MERGE
