handle,title,tipo_actual,tipo_nuevo,accion
acc-general-gris-claro,General: Gris claro,General,Color Respaldo,✅ Actualizado
acc-general-gris-estrella,General: Gris Estrella,General,Color Respaldo,✅ Actualizado
acc-general-gris-grafito,General: Gris Grafito,General,Color Respaldo,✅ Actualizado
acc-general-gris-metalizado,General: Gris Metalizado,General,Color Respaldo,✅ Actualizado
acc-general-gris-mt,General: Gris MT,General,Color Respaldo,✅ Actualizado
acc-general-gris-oscuro,General: Gris Oscuro,General,Color Respaldo,✅ Actualizado
acc-general-hardrock-mapple,General: Hardrock Mapple,General,General,sin cambio
acc-general-haya,General: Haya,General,General,sin cambio
acc-general-incluir-brazo-opuesto-a-paleta,General: Incluir Brazo Opuesto a Paleta,General,Brazos,✅ Actualizado
acc-general-italian-oak,General: Italian Oak,General,General,sin cambio
acc-general-kit-patines-5-unidades,General: Kit Patines  (5 unidades),General,General,sin cambio
acc-general-lana-tela,General: Lana  (Tela),General,Color Tapiz,✅ Actualizado
acc-general-marfil,General: Marfil,General,General,sin cambio
acc-general-mecanismo-4-posiciones-de-bloqueo,General: Mecanismo 4 posiciones de bloqueo,General,General,sin cambio
acc-general-mecanismo-con-4-posiciones-de-bloqueo,General: Mecanismo con 4 Posiciones de Bloqueo,General,General,sin cambio
acc-general-medida-especial-solicitar-cotizacion,General: Medida Especial Solicitar Cotización,General,General,sin cambio
acc-general-medio,General: Medio,General,General,sin cambio
acc-general-medio-66-cm,General: Medio 66 cm,General,General,sin cambio
acc-general-menta,General: Menta,General,General,sin cambio
acc-general-mexico,General: Mexico,General,General,sin cambio
acc-general-morado,General: Morado,General,Color Respaldo,✅ Actualizado
acc-general-mostaza,General: Mostaza,General,General,sin cambio
acc-general-musgo,General: Musgo,General,General,sin cambio
acc-general-naranja,General: Naranja,General,Color Respaldo,✅ Actualizado
acc-general-naranjo,General: Naranjo,General,Color Respaldo,✅ Actualizado
acc-general-naranjo-amarillo,General: Naranjo amarillo,General,Color Respaldo,✅ Actualizado
acc-general-natural-elm,General: Natural Elm,General,General,sin cambio
acc-general-negra,General: Negra,General,General,sin cambio
acc-general-negras,General: Negras,General,General,sin cambio
acc-general-negro,General: Negro,General,General,sin cambio
acc-general-negro-agotado,General: Negro agotado,General,General,sin cambio
acc-general-negro-mt,General: Negro MT,General,General,sin cambio
acc-general-niebla,General: Niebla,General,General,sin cambio
acc-general-no,General: No,General,General,sin cambio
acc-general-noce-cafe-late,General: Noce Cafe Late,General,General,sin cambio
acc-general-nopal,General: Nopal,General,General,sin cambio
acc-general-nordic,General: Nordic,General,General,sin cambio
acc-general-nordic-2-cuerpos,General: Nordic 2 cuerpos,General,Cuerpos,✅ Actualizado
acc-general-nordic-3-cuerpos,General: Nordic 3 Cuerpos,General,Cuerpos,✅ Actualizado
acc-general-nordic-4-cuerpos,General: Nordic 4 cuerpos,General,Cuerpos,✅ Actualizado
acc-general-nrgro,General: Nrgro,General,General,sin cambio
acc-general-oliva,General: Oliva,General,General,sin cambio
acc-general-pack-6-cajoneras-movil-laminada-3-con-cajones,General: Pack 6 Cajoneras Móvil Laminada 3 con Cajones,General,General,sin cambio
acc-general-paleta-nacional-universitaria,General: Paleta Nacional Universitaria,General,General,sin cambio
acc-general-paleta-universitaria,General: Paleta Universitaria,General,General,sin cambio
acc-general-palo-rosa,General: Palo Rosa,General,General,sin cambio
acc-general-par-brazos-aluminio-barnizado-negro-con-pad-negro,General: Par Brazos aluminio barnizado negro con Pad Negro,General,General,sin cambio
acc-general-par-brazos-aluminio-pulido-pad-blanco,General: Par Brazos aluminio pulido Pad blanco,General,Color Respaldo,✅ Actualizado
acc-general-par-brazos-aluminio-pulido-pad-negro,General: Par Brazos aluminio pulido Pad Negro,General,General,sin cambio
acc-general-par-brazos-iso,General: Par Brazos Iso,General,General,sin cambio
acc-general-par-de-brazos,General: Par de Brazos,General,General,sin cambio
acc-general-par-de-brazos-iso,General: Par de Brazos Iso,General,General,sin cambio
acc-general-par-de-brazos-negros,General: Par de Brazos Negros,General,General,sin cambio
acc-general-pata-color-gris,General: Pata Color Gris,General,Patas,✅ Actualizado
acc-general-pata-color-negr,General: Pata Color Negr,General,Patas,✅ Actualizado
acc-general-pata-color-negro,General: Pata Color Negro,General,Patas,✅ Actualizado
acc-general-pata-color-negro-agotada,General: Pata Color Negro( AGOTADA),General,Patas,✅ Actualizado
acc-general-pata-cromada,General: Pata Cromada,General,Patas,✅ Actualizado
acc-general-pata-luna-cromada,General: Pata Luna cromada,General,Patas,✅ Actualizado
acc-general-pata-luna-negra,General: Pata Luna Negra,General,Patas,✅ Actualizado
acc-general-pata-luna-pintada-negra,General: Pata Luna Pintada Negra,General,Patas,✅ Actualizado
acc-general-pata-negra,General: Pata negra,General,Patas,✅ Actualizado
acc-general-pata-recta,General: Pata Recta,General,Patas,✅ Actualizado
acc-general-pata-recta-negra,General: Pata Recta negra,General,Patas,✅ Actualizado
acc-general-pata-split,General: Pata Split,General,Patas,✅ Actualizado
acc-general-pata-split-cromada,General: pata split cromada,General,Patas,✅ Actualizado
acc-general-pata-split-negra,General: Pata split negra,General,Patas,✅ Actualizado
acc-general-pata-y-de-auminio,General: Pata Y de Auminio,General,Patas,✅ Actualizado
acc-general-pata-y-invertida-aluminio,General: Pata Y invertida  Aluminio,General,Patas,✅ Actualizado
acc-general-pata-y-invertida-negra,General: Pata Y invertida  negra,General,Patas,✅ Actualizado
acc-general-pata-y-invertida-aluminio-cromada,General: Pata Y invertida Aluminio Cromada,General,Patas,✅ Actualizado
acc-general-pata-y-invertida-aluminio-pulido,General: Pata Y invertida Aluminio pulido,General,Patas,✅ Actualizado
acc-general-pata-y-invertida-negro,General: Pata Y invertida Negro,General,Patas,✅ Actualizado
acc-general-pata-y-invertida-pintada-aluminio,General: Pata Y invertida Pintada Aluminio,General,Patas,✅ Actualizado
acc-general-pata-y-invertida-pintada-negra,General: Pata Y invertida Pintada negra,General,Patas,✅ Actualizado
acc-general-pata-y-invertida-pintada-negro,General: Pata Y invertida Pintada Negro,General,Patas,✅ Actualizado
acc-general-pata-y-pintada-negro,General: Pata Y pintada Negro,General,Patas,✅ Actualizado
acc-general-patas-color-negro-agotada,General: Patas Color Negro( AGOTADA),General,General,sin cambio
acc-general-patas-cromadas,General: Patas Cromadas,General,General,sin cambio
acc-general-patas-grises,General: Patas Grises,General,General,sin cambio
acc-general-patas-negras,General: Patas Negras,General,General,sin cambio
acc-general-patas-negras-agotada,General: Patas Negras ( AGOTADA),General,General,sin cambio
acc-general-patas-trineo-cromado,General: Patas Trineo Cromado,General,General,sin cambio
acc-general-patas-y-invertida-pintada-negro,General: Patas Y Invertida  Pintada negro,General,General,sin cambio
acc-general-patas-y-invertida-aluminio-pulido,General: Patas Y Invertida Aluminio Pulido,General,General,sin cambio
acc-general-patin,General: Patin,General,General,sin cambio
acc-general-patin-negro,General: Patín Negro,General,General,sin cambio
acc-general-patines,General: Patines,General,General,sin cambio
acc-general-patines-negros-en-vez-de-ruedas,General: Patínes Negros en vez de ruedas,General,General,sin cambio
acc-general-peral,General: Peral,General,General,sin cambio
acc-general-perchero,General: Perchero,General,General,sin cambio
acc-general-petroleo,General: Petroleo,General,General,sin cambio
acc-general-pistacho,General: Pistacho,General,Color Respaldo,✅ Actualizado
acc-general-provincial-oak,General: Provincial Oak,General,General,sin cambio
acc-general-rejilla-universitaria,General: Rejilla universitaria,General,General,sin cambio
acc-general-revistero,General: Revistero,General,Extra,✅ Actualizado
acc-general-rojo,General: Rojo,General,Color Respaldo,✅ Actualizado
acc-general-rosa,General: Rosa,General,General,sin cambio
acc-general-rosado,General: Rosado,General,Color Respaldo,✅ Actualizado
acc-general-rueda-desmopan,General: Rueda Desmopan,General,General,sin cambio
acc-general-ruedas,General: Ruedas,General,General,sin cambio
acc-general-ruedas-desmopan,General: Ruedas Desmopán,General,General,sin cambio
acc-general-ruedas-desmopan-para-piso-flotante,General: Ruedas Desmopan (Para Piso Flotante),General,General,sin cambio
acc-general-ruedas-desmopan-50-mm-para-piso-flotante,General: Ruedas Desmopán 50 mm (Para Piso Flotante),General,General,sin cambio
acc-general-ruedas-desmopan-50mm,General: Ruedas Desmopan 50mm,General,General,sin cambio
acc-general-ruedas-desmopan-50mm-para-piso-flotante,General: Ruedas Desmopan 50mm (Para Piso Flotante),General,General,sin cambio
acc-general-ruedas-desmopan-65mm-para-piso-flotante,General: Ruedas Desmopan 65mm (Para Piso Flotante),General,General,sin cambio
acc-general-ruedas-desmopan-goma-65mm-para-piso-flotante,General: Ruedas Desmopan Goma 65mm (Para Piso Flotante),General,General,sin cambio
acc-general-salice,General: Salice,General,General,sin cambio
